ride.alc.driver,female,grade,age4,smoke,DriverLicense
0,,10,16,,1
0,0,10,15,0,0
1,1,9,14,0,0
0,0,9,15,0,0
0,1,9,16,0,1
0,1,9,15,0,0
0,1,9,15,0,0
0,1,9,15,0,0
0,0,9,15,1,0
0,1,9,15,0,0
1,1,9,14,1,0
1,1,9,15,1,0
1,0,9,14,1,0
1,1,9,16,1,1
0,0,9,15,0,0
1,1,10,15,1,0
0,1,11,17,1,1
1,1,11,16,1,1
0,1,12,17,1,1
0,0,11,17,0,1
1,1,12,18,1,1
1,1,11,17,1,1
0,1,10,15,1,0
0,0,9,15,1,0
0,0,9,15,0,0
1,1,9,14,1,0
0,0,12,17,,1
0,0,12,17,0,1
0,0,11,17,1,1
0,1,12,17,0,1
1,,12,18,0,1
1,,12,18,1,1
0,1,12,18,0,1
1,1,12,18,1,1
0,1,12,17,1,1
0,1,12,17,0,1
0,1,12,18,0,1
1,0,12,17,0,1
0,1,12,17,1,1
0,0,12,17,1,1
0,,12,17,1,1
0,0,11,16,0,1
0,1,11,17,0,1
1,1,11,16,1,1
0,1,11,16,1,1
0,0,11,16,0,1
1,0,11,16,0,1
0,1,11,17,0,1
1,1,11,17,0,1
0,0,11,16,0,1
0,0,11,16,1,1
0,0,11,16,1,1
0,0,9,14,0,0
0,0,9,14,,0
1,1,9,14,1,0
0,0,9,14,0,0
0,0,9,14,0,0
0,0,9,15,0,0
0,0,9,14,0,0
0,0,9,14,0,0
0,0,9,15,0,0
0,0,9,14,0,0
0,0,9,14,0,0
0,0,9,14,0,0
0,1,9,14,0,0
0,0,9,15,0,0
1,1,9,16,1,1
0,1,10,15,1,0
0,1,10,15,1,0
0,1,10,15,0,0
0,0,10,15,0,0
0,0,10,15,1,0
1,1,10,15,1,0
0,0,10,15,1,0
0,0,10,15,0,0
0,1,10,16,0,1
0,0,10,15,0,0
1,1,11,18,1,1
1,1,10,16,1,1
0,,9,15,1,0
0,,10,15,1,0
0,,9,15,1,0
1,,9,15,,0
0,,10,16,1,1
0,,9,15,,0
0,,9,15,1,0
0,,9,15,1,0
0,,9,14,,0
0,,10,16,1,1
0,,9,14,,0
0,,9,15,,0
0,,9,15,1,0
0,,9,15,,0
0,,9,15,1,0
0,,9,15,1,0
0,,9,14,1,0
0,1,10,16,1,1
0,,9,15,1,0
0,,9,15,1,0
0,1,9,14,1,0
1,1,9,15,1,0
0,,9,16,1,1
0,,9,14,1,0
0,,9,15,1,0
0,,11,15,1,0
0,,9,14,1,0
0,,12,18,1,1
0,,12,18,1,1
0,,12,17,1,1
0,,12,17,1,1
1,,12,17,,1
0,,12,17,1,1
0,,12,18,1,1
0,,12,18,1,1
1,,12,18,,1
1,,12,18,,1
0,,12,17,1,1
0,,12,18,1,1
0,,12,18,1,1
0,,12,17,,1
0,,12,18,,1
0,,12,17,1,1
0,,12,18,,1
0,,12,18,1,1
0,,12,18,1,1
1,,12,17,,1
0,,12,17,1,1
0,,12,17,1,1
0,,12,18,1,1
0,,12,18,,1
1,,12,18,1,1
0,,12,17,1,1
1,,12,18,,1
0,,,18,,1
0,,12,18,,1
0,,11,16,,1
0,,10,15,1,0
0,,10,16,1,1
0,,10,16,1,1
0,1,10,15,1,0
0,,10,16,,1
0,,10,15,,0
0,,10,17,1,1
0,,10,16,1,1
0,,,,1,
0,,10,16,,1
0,1,11,16,1,1
0,1,12,18,1,1
0,,11,18,1,1
0,,12,18,,1
0,1,11,17,1,1
0,,10,16,,1
0,,10,16,,1
0,,11,17,1,1
0,,11,17,1,1
0,,11,17,,1
0,,11,17,1,1
0,,12,16,1,1
0,,11,17,,1
0,,11,17,1,1
0,,11,16,1,1
0,,11,17,1,1
1,,11,17,1,1
0,,11,17,1,1
0,,,17,1,1
0,,11,15,1,0
0,,11,17,1,1
0,,11,17,1,1
0,,11,16,1,1
0,,11,17,1,1
0,,11,17,1,1
0,,11,15,1,0
0,,11,17,1,1
0,,11,17,1,1
0,,11,17,1,1
0,,11,17,1,1
0,,11,17,1,1
0,,11,16,,1
0,0,9,14,1,0
0,0,9,15,0,0
1,1,9,15,1,0
0,0,9,16,0,1
1,0,9,15,1,0
0,0,9,15,0,0
1,0,9,14,0,0
0,,9,15,1,0
0,1,9,15,1,0
1,0,9,16,0,1
0,0,9,15,0,0
1,1,9,14,1,0
0,0,9,14,,0
0,0,9,15,0,0
1,1,9,14,1,0
1,1,9,14,1,0
1,0,9,15,0,0
0,0,9,14,0,0
1,1,9,15,1,0
0,1,9,15,0,0
1,0,9,15,1,0
0,1,9,15,0,0
1,1,9,15,1,0
0,1,9,15,1,0
1,1,9,15,0,0
1,1,10,16,1,1
1,1,10,15,1,0
0,0,10,16,1,1
0,0,10,15,0,0
0,0,10,16,0,1
0,0,10,16,0,1
0,0,10,16,1,1
1,1,10,16,1,1
1,1,10,15,1,0
1,1,10,16,0,1
0,0,11,17,1,1
1,1,10,16,1,1
1,0,10,16,1,1
0,1,10,16,0,1
0,0,10,15,0,0
0,1,10,16,0,1
0,0,10,16,1,1
0,1,10,15,0,0
1,1,10,15,1,0
1,1,10,16,1,1
0,1,11,16,0,1
0,1,11,16,0,1
0,1,11,18,1,1
0,1,11,16,1,1
0,0,11,17,1,1
0,0,11,17,0,1
0,1,12,18,1,1
1,0,11,16,1,1
0,0,11,17,,1
0,0,11,17,0,1
0,0,11,17,0,1
1,1,11,17,1,1
1,1,11,17,1,1
0,0,11,16,1,1
0,1,12,18,1,1
0,0,11,18,1,1
0,1,11,17,0,1
0,0,12,18,1,1
0,1,11,17,1,1
1,0,10,15,1,0
0,1,12,18,1,1
1,1,11,17,1,1
0,1,12,17,1,1
0,1,11,16,1,1
1,1,12,18,0,1
1,0,12,18,1,1
0,1,11,16,0,1
0,0,12,18,1,1
0,0,12,17,1,1
1,1,12,18,1,1
1,1,11,17,1,1
0,1,12,18,1,1
1,1,12,18,1,1
1,,11,17,,1
0,0,12,17,1,1
1,1,12,17,,1
0,0,12,18,0,1
0,0,11,17,1,1
1,0,11,16,1,1
1,1,12,17,1,1
0,1,11,18,1,1
0,1,11,17,0,1
0,1,11,16,0,1
0,0,11,17,1,1
1,1,11,17,1,1
0,1,11,16,1,1
0,0,11,16,1,1
0,1,11,17,1,1
0,1,11,18,1,1
0,1,11,17,1,1
0,0,11,17,1,1
0,1,11,16,1,1
0,1,12,18,1,1
0,1,12,18,0,1
1,1,12,18,1,1
1,1,12,17,1,1
0,1,12,18,0,1
0,1,12,18,1,1
0,1,12,18,1,1
0,1,12,18,1,1
0,1,12,18,1,1
0,1,12,18,1,1
0,1,12,17,1,1
0,1,12,18,1,1
0,1,12,17,1,1
1,0,12,16,1,1
1,1,12,18,1,1
1,1,12,18,1,1
1,1,12,17,1,1
0,1,11,17,1,1
1,0,10,15,1,0
0,1,10,15,1,0
1,1,10,17,1,1
1,0,10,16,0,1
1,0,9,14,1,0
0,0,9,15,0,0
1,0,9,14,1,0
0,0,9,14,0,0
1,0,9,15,1,0
0,0,9,15,0,0
0,0,9,14,0,0
0,0,9,14,0,0
0,1,,,1,
1,0,9,15,1,0
1,0,9,14,0,0
0,0,9,15,0,0
0,0,9,14,0,0
0,0,9,15,,0
0,1,9,16,1,1
0,1,9,15,0,0
0,0,9,14,1,0
1,1,9,15,0,0
0,0,9,15,0,0
0,0,9,14,1,0
0,0,9,15,1,0
0,1,9,15,1,0
1,1,9,15,1,0
0,0,10,16,0,1
0,0,9,14,1,0
0,1,10,15,0,0
1,0,12,17,0,1
0,1,12,17,0,1
0,1,12,18,1,1
0,1,12,17,1,1
1,1,12,18,1,1
0,1,12,17,1,1
0,1,12,18,1,1
0,1,12,17,1,1
0,0,12,18,0,1
0,0,12,18,1,1
0,1,12,17,1,1
0,1,12,18,0,1
0,1,12,18,0,1
0,1,12,17,0,1
0,0,12,18,0,1
0,1,12,18,1,1
0,1,12,18,0,1
0,1,11,17,1,1
0,1,12,17,0,1
1,1,11,17,1,1
0,,12,17,0,1
0,1,12,18,1,1
0,1,12,18,0,1
0,1,12,18,1,1
0,1,12,17,0,1
0,0,12,17,0,1
0,1,12,17,0,1
0,1,12,17,1,1
0,0,12,18,0,1
0,0,12,17,0,1
0,1,11,17,0,1
0,1,11,17,0,1
0,0,12,17,1,1
0,0,11,17,0,1
0,1,11,16,1,1
0,0,11,17,1,1
0,0,11,16,0,1
0,1,11,16,1,1
0,0,11,16,0,1
0,1,11,16,0,1
0,1,11,17,0,1
1,1,11,17,0,1
1,1,11,17,0,1
0,1,11,16,0,1
0,1,11,17,1,1
1,1,11,17,1,1
0,1,11,16,1,1
1,1,11,17,1,1
1,1,11,17,1,1
0,1,11,16,,1
0,1,11,16,0,1
1,,11,17,1,1
0,0,11,17,0,1
0,1,11,16,1,1
0,0,11,16,0,1
0,1,11,16,1,1
0,1,11,17,1,1
0,1,11,16,1,1
1,1,11,17,1,1
0,1,10,16,0,1
0,,10,15,1,0
0,0,11,16,1,1
0,1,10,17,1,1
0,1,12,18,0,1
0,1,10,15,0,0
0,,10,15,0,0
0,0,10,15,0,0
0,0,11,16,1,1
0,1,10,15,0,0
0,1,10,16,1,1
1,1,10,16,1,1
1,1,10,16,1,1
0,0,11,18,1,1
0,1,10,15,0,0
0,1,10,15,0,0
0,0,10,15,1,0
0,1,10,15,1,0
0,0,10,15,0,0
0,1,10,15,0,0
0,1,10,15,0,0
0,1,10,15,0,0
0,1,10,16,1,1
0,0,10,16,0,1
0,0,10,16,0,1
0,0,9,14,0,0
0,1,9,15,1,0
0,1,9,15,1,0
0,1,9,16,0,1
0,0,9,14,0,0
0,0,9,15,0,0
0,1,9,15,0,0
0,1,10,16,1,1
1,1,9,15,1,0
0,0,9,14,0,0
0,0,9,15,0,0
0,1,9,15,1,0
0,1,10,17,1,1
1,1,10,15,1,0
0,0,9,15,1,0
0,1,9,16,1,1
0,0,9,14,0,0
1,1,9,15,0,0
0,0,10,16,0,1
0,0,10,16,0,1
0,0,10,16,0,1
0,0,10,15,0,0
1,1,10,16,0,1
0,0,10,16,0,1
0,0,10,16,0,1
0,0,10,16,0,1
0,0,10,15,1,0
1,0,10,16,1,1
0,1,10,16,0,1
0,0,10,16,0,1
0,0,10,16,0,1
0,1,10,16,1,1
0,0,10,16,0,1
0,1,11,16,1,1
0,0,10,16,0,1
1,0,10,15,1,0
1,1,10,15,0,0
0,0,10,15,0,0
1,0,10,16,0,1
0,0,10,15,0,0
0,1,11,18,1,1
0,1,11,16,0,1
0,1,11,18,1,1
1,1,11,16,1,1
0,0,11,17,1,1
0,1,11,16,0,1
1,1,11,16,1,1
1,1,11,16,1,1
0,1,11,16,1,1
0,0,11,17,0,1
0,1,12,17,1,1
1,1,11,16,1,1
0,0,11,16,0,1
0,0,11,17,0,1
0,0,11,16,0,1
0,1,11,16,0,1
0,0,11,16,0,1
1,1,11,16,0,1
1,1,11,17,1,1
0,1,11,17,1,1
0,1,11,16,1,1
0,1,11,16,0,1
0,,12,18,1,1
0,1,12,18,0,1
0,0,12,18,1,1
0,1,12,17,1,1
1,0,12,18,1,1
0,1,12,17,0,1
0,1,12,18,0,1
0,1,12,18,1,1
1,1,12,18,,1
0,1,12,18,1,1
0,1,12,18,1,1
0,1,12,18,1,1
0,1,12,18,0,1
1,1,12,18,1,1
0,1,12,18,1,1
0,1,12,17,1,1
0,0,12,17,0,1
1,1,12,17,1,1
1,1,12,18,1,1
0,1,12,18,1,1
1,1,12,18,1,1
1,,9,14,0,0
0,0,9,15,1,0
0,0,9,14,0,0
0,0,9,14,0,0
0,0,9,15,0,0
0,0,9,15,0,0
0,0,9,15,0,0
0,0,9,14,0,0
0,0,9,15,1,0
1,0,9,14,0,0
0,0,9,16,1,1
0,0,9,15,1,0
0,1,9,15,1,0
0,0,9,15,0,0
1,1,10,16,1,1
1,0,9,14,1,0
0,0,9,14,0,0
0,1,9,15,1,0
0,1,9,14,0,0
0,1,9,16,1,1
1,1,9,15,1,0
0,1,12,17,1,1
0,1,11,16,1,1
0,0,12,18,1,1
0,1,11,17,0,1
1,0,11,16,1,1
0,,12,18,,1
1,1,10,15,0,0
0,1,12,18,0,1
0,0,10,16,0,1
0,1,11,17,1,1
0,1,11,18,0,1
1,,11,17,1,1
1,1,,18,1,1
0,0,11,18,0,1
1,,12,18,0,1
0,0,11,17,0,1
1,1,12,18,1,1
1,1,12,18,1,1
1,1,10,16,1,1
0,1,11,16,0,1
0,1,12,18,0,1
0,0,11,16,1,1
0,1,11,16,1,1
1,1,11,17,1,1
0,,11,18,0,1
0,0,9,15,0,0
1,0,11,16,0,1
0,1,11,17,0,1
0,1,12,18,1,1
0,1,10,16,0,1
1,0,,,1,
0,0,11,16,1,1
1,1,11,16,1,1
0,1,11,16,,1
1,1,11,16,0,1
1,0,11,16,1,1
1,1,11,16,1,1
0,,12,18,0,1
1,1,11,17,1,1
0,1,12,17,1,1
0,1,12,18,1,1
0,1,12,17,1,1
1,0,10,16,0,1
1,1,12,17,1,1
0,0,11,16,1,1
0,1,12,18,1,1
0,1,11,16,1,1
1,,12,18,1,1
1,1,11,16,0,1
0,1,10,15,1,0
1,1,11,16,1,1
0,0,12,18,0,1
0,1,12,18,,1
0,1,12,17,1,1
1,1,11,16,1,1
1,1,11,16,1,1
0,1,11,17,1,1
0,0,12,18,1,1
1,1,12,17,1,1
0,0,12,17,1,1
1,1,12,18,1,1
1,1,11,16,1,1
1,1,12,18,0,1
0,1,12,18,1,1
1,1,11,16,1,1
0,1,11,16,1,1
1,1,10,15,1,0
1,,9,14,1,0
0,,10,16,1,1
0,0,11,17,1,1
1,,12,17,,1
0,1,10,16,0,1
0,1,10,15,1,0
0,,12,17,0,1
1,1,11,16,1,1
1,1,11,17,1,1
1,1,11,16,1,1
1,0,11,16,0,1
0,0,9,14,,0
1,1,11,16,1,1
1,1,11,16,1,1
0,0,11,17,1,1
1,1,11,17,1,1
1,1,11,17,1,1
0,1,9,14,1,0
1,1,10,16,1,1
1,1,12,18,1,1
1,1,12,18,1,1
0,1,12,18,0,1
1,1,10,16,1,1
0,0,9,15,1,0
1,0,9,14,1,0
1,1,11,17,1,1
1,0,9,14,1,0
1,1,10,17,0,1
0,1,10,16,0,1
1,1,11,17,1,1
1,0,10,17,0,1
0,1,11,16,1,1
0,1,10,15,1,0
1,1,9,15,0,0
1,0,9,15,1,0
0,0,9,15,0,0
0,1,10,15,0,0
1,1,10,15,1,0
0,0,9,15,1,0
1,0,10,16,0,1
1,1,12,17,1,1
0,0,12,18,1,1
1,1,9,15,1,0
1,1,11,17,1,1
1,1,12,17,1,1
0,0,9,15,0,0
0,1,10,16,0,1
0,0,10,15,1,0
0,1,10,16,0,1
1,1,9,,1,
1,1,9,15,1,0
0,1,9,15,1,0
0,0,11,17,1,1
1,1,9,14,1,0
0,1,9,15,1,0
1,1,10,15,1,0
1,1,10,16,0,1
0,0,9,16,1,1
0,0,9,14,0,0
1,1,11,17,1,1
0,1,10,15,0,0
0,1,10,16,1,1
0,0,9,14,1,0
1,1,12,18,1,1
1,1,11,17,1,1
0,0,11,16,1,1
0,1,11,18,0,1
1,0,9,15,1,0
0,1,12,18,0,1
1,1,9,15,1,0
0,1,11,18,0,1
1,0,9,15,1,0
1,1,10,17,1,1
0,1,9,16,1,1
0,0,9,15,0,0
1,0,10,14,1,0
1,1,9,15,1,0
1,1,9,16,1,1
0,1,10,16,1,1
0,1,10,17,1,1
0,1,10,15,0,0
0,1,9,16,0,1
0,1,9,15,1,0
1,1,10,17,1,1
1,1,9,17,1,1
0,0,10,17,1,1
1,0,9,15,0,0
0,1,9,14,1,0
1,1,9,16,1,1
1,0,10,16,1,1
0,1,9,16,0,1
0,0,9,15,1,0
0,1,11,18,1,1
1,1,10,16,1,1
1,0,10,16,1,1
0,0,10,16,0,1
0,1,10,15,0,0
0,0,10,16,0,1
0,0,10,16,1,1
1,1,10,16,1,1
0,0,10,16,0,1
0,0,10,16,1,1
0,0,10,15,0,0
1,0,10,16,1,1
1,0,10,15,1,0
1,0,10,15,1,0
0,0,10,16,1,1
0,0,10,15,0,0
0,1,10,16,1,1
0,1,10,15,1,0
1,0,10,16,1,1
0,1,10,18,0,1
1,1,10,16,0,1
0,0,11,17,1,1
0,1,11,16,1,1
0,0,11,17,1,1
0,1,11,16,0,1
0,1,11,17,0,1
0,0,12,18,1,1
1,1,12,17,1,1
0,0,11,16,1,1
0,0,11,16,0,1
1,0,11,16,1,1
0,0,11,16,,1
0,1,11,16,1,1
0,0,11,16,1,1
0,1,11,17,1,1
0,0,11,16,0,1
0,0,12,17,0,1
1,1,12,18,1,1
0,1,12,17,1,1
0,1,12,18,1,1
1,1,12,17,1,1
0,1,12,18,1,1
1,1,12,17,1,1
0,1,12,17,0,1
0,1,12,17,0,1
0,1,12,17,0,1
0,1,12,18,1,1
0,0,12,17,1,1
0,0,12,17,0,1
0,1,12,18,1,1
1,1,12,17,1,1
1,1,12,17,1,1
1,1,12,18,1,1
0,1,12,17,1,1
0,0,12,17,0,1
1,1,12,17,1,1
1,1,12,17,1,1
0,0,12,18,0,1
0,1,12,17,0,1
0,1,12,17,1,1
0,0,12,17,1,1
0,1,12,18,0,1
0,0,9,15,0,0
0,0,9,14,0,0
0,0,9,14,0,0
1,1,9,15,1,0
1,0,9,,1,
1,0,9,15,0,0
0,0,9,14,0,0
1,0,9,14,0,0
1,0,9,14,1,0
0,,9,14,0,0
0,0,9,14,1,0
0,0,9,14,1,0
0,1,9,14,1,0
0,0,9,14,0,0
1,0,9,15,1,0
0,0,9,15,0,0
0,,9,14,1,0
1,1,12,18,1,1
1,1,12,17,1,1
0,1,12,18,0,1
0,1,12,18,1,1
1,1,12,18,1,1
1,1,12,18,1,1
1,0,12,18,1,1
1,1,12,18,1,1
0,0,12,17,0,1
0,1,12,17,0,1
1,1,12,17,,1
1,1,12,18,0,1
0,1,12,17,1,1
0,1,12,18,1,1
0,1,12,18,0,1
1,1,10,15,1,0
0,1,10,16,0,1
1,1,10,16,1,1
0,1,10,15,1,0
0,1,10,16,1,1
0,0,10,15,0,0
0,,10,16,1,1
0,1,10,15,1,0
1,1,10,16,1,1
0,1,10,15,0,0
0,0,10,15,1,0
1,1,10,16,1,1
0,0,10,15,0,0
0,0,10,15,0,0
0,1,10,16,1,1
0,1,10,16,0,1
0,1,10,15,0,0
1,1,10,16,1,1
1,0,9,15,0,0
0,1,9,16,0,1
0,,9,15,0,0
0,0,9,16,0,1
0,1,9,14,0,0
1,1,10,16,1,1
0,1,9,16,0,1
1,1,9,15,1,0
1,1,9,15,1,0
0,0,9,15,1,0
1,1,9,15,,0
0,0,9,14,1,0
0,1,9,15,1,0
1,0,9,14,1,0
0,1,9,14,1,0
1,1,10,16,1,1
0,0,11,17,1,1
1,1,11,17,1,1
1,1,11,17,1,1
1,1,11,17,1,1
0,1,11,16,0,1
1,1,11,16,1,1
0,1,11,17,1,1
1,1,11,17,1,1
0,0,11,16,1,1
1,1,11,17,1,1
0,1,11,17,0,1
1,1,11,16,1,1
0,1,11,16,1,1
0,1,11,17,1,1
0,1,11,16,1,1
1,1,11,16,1,1
0,1,11,16,0,1
1,0,11,17,0,1
1,,,16,1,1
1,,11,17,1,1
1,1,11,17,1,1
0,0,11,18,1,1
0,1,11,16,1,1
1,1,11,18,1,1
0,0,11,18,0,1
0,0,11,17,0,1
1,0,11,18,0,1
0,,11,18,1,1
0,0,11,16,0,1
0,1,11,17,0,1
0,0,11,17,0,1
0,0,11,17,1,1
1,1,11,16,1,1
1,1,11,17,1,1
1,0,11,16,1,1
1,1,11,17,1,1
0,1,11,16,1,1
0,1,11,16,1,1
0,1,11,17,1,1
0,0,12,16,0,1
0,0,11,16,0,1
1,1,11,17,0,1
1,1,11,17,1,1
0,1,11,18,1,1
1,1,11,17,1,1
1,1,11,18,1,1
1,1,11,17,1,1
0,0,11,16,1,1
0,1,11,18,,1
1,1,11,17,1,1
1,1,11,16,1,1
0,1,10,17,1,1
0,1,12,18,,1
1,1,12,18,1,1
1,0,12,17,1,1
1,1,12,18,1,1
1,1,12,17,1,1
1,1,12,18,1,1
0,1,12,18,1,1
1,1,12,18,1,1
1,0,11,16,1,1
0,1,12,18,0,1
1,0,12,17,1,1
1,1,12,18,1,1
0,1,12,18,1,1
0,1,12,18,0,1
1,1,12,18,1,1
0,1,12,18,1,1
0,1,12,17,1,1
1,1,12,18,0,1
0,1,12,18,1,1
1,1,12,18,1,1
0,1,12,18,0,1
0,0,12,18,0,1
1,1,12,18,1,1
0,1,12,18,0,1
0,1,12,18,0,1
0,0,12,18,0,1
0,0,12,17,1,1
1,0,12,17,1,1
0,1,12,18,1,1
1,1,12,18,1,1
0,1,12,17,1,1
1,0,12,17,1,1
1,1,12,18,1,1
0,1,12,18,0,1
1,1,12,18,1,1
1,1,12,18,1,1
0,0,12,18,1,1
1,1,12,18,1,1
0,0,12,18,0,1
0,1,12,18,1,1
0,1,12,17,1,1
1,1,12,18,1,1
1,1,12,17,1,1
0,1,12,17,0,1
1,1,12,17,0,1
1,0,12,18,1,1
1,1,12,17,1,1
0,0,9,14,0,0
0,0,9,14,1,0
1,1,9,14,0,0
0,0,9,15,0,0
0,1,9,15,0,0
0,0,9,15,0,0
0,0,9,15,0,0
0,0,9,14,0,0
0,0,9,16,1,1
0,1,9,15,1,0
0,0,9,15,0,0
0,1,9,14,0,0
0,,9,14,0,0
1,1,9,14,1,0
0,0,9,14,0,0
0,1,9,15,1,0
0,,9,16,0,1
0,1,,,1,
1,1,11,16,1,1
1,0,11,16,0,1
0,1,11,17,0,1
0,0,11,16,1,1
0,1,11,17,1,1
1,1,11,16,0,1
0,0,11,17,1,1
0,0,11,17,0,1
0,1,11,16,1,1
0,1,11,17,1,1
0,1,11,16,1,1
0,1,11,17,0,1
0,0,11,16,0,1
0,1,11,16,0,1
0,0,11,16,0,1
0,1,11,16,1,1
0,1,11,16,0,1
0,1,11,16,1,1
0,0,11,16,1,1
0,,11,16,,1
1,1,11,16,1,1
1,1,11,17,1,1
1,0,10,18,0,1
0,1,11,16,1,1
0,1,11,16,0,1
0,1,10,16,1,1
1,1,11,16,1,1
0,1,11,16,1,1
0,0,11,16,0,1
0,,11,16,1,1
0,0,12,17,0,1
0,1,12,17,1,1
0,1,12,18,1,1
0,1,12,17,1,1
