Year,Seed,Final4
1983,3,0
1983,3,0
1983,3,0
1983,3,0
1983,4,0
1983,4,0
1983,4,0
1983,5,0
1983,5,0
1983,5,0
1983,5,0
1983,6,0
1983,6,0
1983,6,0
1983,7,0
1983,7,0
1983,7,0
1983,7,0
1983,8,0
1983,8,0
1983,8,0
1983,8,0
1983,9,0
1983,9,0
1983,9,0
1983,9,0
1983,10,0
1983,10,0
1983,10,0
1983,10,0
1983,11,0
1983,11,0
1983,11,0
1983,11,0
1983,12,0
1983,12,0
1983,12,0
1983,12,0
1983,13,0
1983,13,0
1983,13,0
1983,13,0
1983,14,0
1983,14,0
1983,14,0
1983,14,0
1983,15,0
1983,15,0
1983,15,0
1983,15,0
1983,16,0
1983,16,0
1983,16,0
1983,16,0
1984,1,0
1984,1,0
1984,2,0
1984,2,0
1984,2,0
1984,3,0
1984,3,0
1984,3,0
1984,3,0
1984,4,0
1984,4,0
1984,4,0
1984,4,0
1984,5,0
1984,5,0
1984,5,0
1984,5,0
1984,6,0
1984,6,0
1984,6,0
1984,6,0
1984,7,0
1984,7,0
1984,7,0
1984,8,0
1984,8,0
1984,8,0
1984,8,0
1984,9,0
1984,9,0
1984,9,0
1984,9,0
1984,10,0
1984,10,0
1984,10,0
1984,10,0
1984,11,0
1984,11,0
1984,11,0
1984,11,0
1984,12,0
1984,12,0
1984,12,0
1984,12,0
1984,13,0
1984,13,0
1984,13,0
1984,13,0
1984,14,0
1984,14,0
1984,14,0
1984,14,0
1984,15,0
1984,15,0
1984,15,0
1984,15,0
1984,16,0
1984,16,0
1984,16,0
1984,16,0
1985,1,0
1985,1,0
1985,2,0
1985,2,0
1985,2,0
1985,3,0
1985,3,0
1985,3,0
1985,3,0
1985,4,0
1985,4,0
1985,4,0
1985,4,0
1985,5,0
1985,5,0
1985,5,0
1985,5,0
1985,6,0
1985,6,0
1985,6,0
1985,6,0
1985,7,0
1985,7,0
1985,7,0
1985,7,0
1985,8,0
1985,8,0
1985,8,0
1985,9,0
1985,9,0
1985,9,0
1985,9,0
1985,10,0
1985,10,0
1985,10,0
1985,10,0
1985,11,0
1985,11,0
1985,11,0
1985,11,0
1985,12,0
1985,12,0
1985,12,0
1985,12,0
1985,13,0
1985,13,0
1985,13,0
1985,13,0
1985,14,0
1985,14,0
1985,14,0
1985,14,0
1985,15,0
1985,15,0
1985,15,0
1985,15,0
1985,16,0
1985,16,0
1985,16,0
1985,16,0
1986,1,0
1986,1,0
1986,2,0
1986,2,0
1986,2,0
1986,3,0
1986,3,0
1986,3,0
1986,3,0
1986,4,0
1986,4,0
1986,4,0
1986,4,0
1986,5,0
1986,5,0
1986,5,0
1986,5,0
1986,6,0
1986,6,0
1986,6,0
1986,6,0
1986,7,0
1986,7,0
1986,7,0
1986,7,0
1986,8,0
1986,8,0
1986,8,0
1986,8,0
1986,9,0
1986,9,0
1986,9,0
1986,9,0
1986,10,0
1986,10,0
1986,10,0
1986,10,0
1986,11,0
1986,11,0
1986,11,0
1986,12,0
1986,12,0
1986,12,0
1986,12,0
1986,13,0
1986,13,0
1986,13,0
1986,13,0
1986,14,0
1986,14,0
1986,14,0
1986,14,0
1986,15,0
1986,15,0
1986,15,0
1986,15,0
1986,16,0
1986,16,0
1986,16,0
1986,16,0
1987,1,0
1987,1,0
1987,2,0
1987,2,0
1987,2,0
1987,3,0
1987,3,0
1987,3,0
1987,3,0
1987,4,0
1987,4,0
1987,4,0
1987,4,0
1987,5,0
1987,5,0
1987,5,0
1987,5,0
1987,6,0
1987,6,0
1987,6,0
1987,7,0
1987,7,0
1987,7,0
1987,7,0
1987,8,0
1987,8,0
1987,8,0
1987,8,0
1987,9,0
1987,9,0
1987,9,0
1987,9,0
1987,10,0
1987,10,0
1987,10,0
1987,10,0
1987,11,0
1987,11,0
1987,11,0
1987,11,0
1987,12,0
1987,12,0
1987,12,0
1987,12,0
1987,13,0
1987,13,0
1987,13,0
1987,13,0
1987,14,0
1987,14,0
1987,14,0
1987,14,0
1987,15,0
1987,15,0
1987,15,0
1987,15,0
1987,16,0
1987,16,0
1987,16,0
1987,16,0
1988,1,0
1988,1,0
1988,2,0
1988,2,0
1988,2,0
1988,3,0
1988,3,0
1988,3,0
1988,3,0
1988,4,0
1988,4,0
1988,4,0
1988,4,0
1988,5,0
1988,5,0
1988,5,0
1988,5,0
1988,6,0
1988,6,0
1988,6,0
1988,7,0
1988,7,0
1988,7,0
1988,7,0
1988,8,0
1988,8,0
1988,8,0
1988,8,0
1988,9,0
1988,9,0
1988,9,0
1988,9,0
1988,10,0
1988,10,0
1988,10,0
1988,10,0
1988,11,0
1988,11,0
1988,11,0
1988,11,0
1988,12,0
1988,12,0
1988,12,0
1988,12,0
1988,13,0
1988,13,0
1988,13,0
1988,13,0
1988,14,0
1988,14,0
1988,14,0
1988,14,0
1988,15,0
1988,15,0
1988,15,0
1988,15,0
1988,16,0
1988,16,0
1988,16,0
1988,16,0
1989,1,0
1989,1,0
1989,1,0
1989,2,0
1989,2,0
1989,2,0
1989,3,0
1989,3,0
1989,4,0
1989,4,0
1989,4,0
1989,4,0
1989,5,0
1989,5,0
1989,5,0
1989,5,0
1989,6,0
1989,6,0
1989,6,0
1989,6,0
1989,7,0
1989,7,0
1989,7,0
1989,7,0
1989,8,0
1989,8,0
1989,8,0
1989,8,0
1989,9,0
1989,9,0
1989,9,0
1989,9,0
1989,10,0
1989,10,0
1989,10,0
1989,10,0
1989,11,0
1989,11,0
1989,11,0
1989,11,0
1989,12,0
1989,12,0
1989,12,0
1989,12,0
1989,13,0
1989,13,0
1989,13,0
1989,13,0
1989,14,0
1989,14,0
1989,14,0
1989,14,0
1989,15,0
1989,15,0
1989,15,0
1989,15,0
1989,16,0
1989,16,0
1989,16,0
1989,16,0
1990,1,0
1990,1,0
1990,1,0
1990,2,0
1990,2,0
1990,2,0
1990,2,0
1990,3,0
1990,3,0
1990,3,0
1990,4,0
1990,4,0
1990,5,0
1990,5,0
1990,5,0
1990,5,0
1990,6,0
1990,6,0
1990,6,0
1990,6,0
1990,7,0
1990,7,0
1990,7,0
1990,7,0
1990,8,0
1990,8,0
1990,8,0
1990,8,0
1990,9,0
1990,9,0
1990,9,0
1990,9,0
1990,10,0
1990,10,0
1990,10,0
1990,10,0
1990,11,0
1990,11,0
1990,11,0
1990,11,0
1990,12,0
1990,12,0
1990,12,0
1990,12,0
1990,13,0
1990,13,0
1990,13,0
1990,13,0
1990,14,0
1990,14,0
1990,14,0
1990,14,0
1990,15,0
1990,15,0
1990,15,0
1990,15,0
1990,16,0
1990,16,0
1990,16,0
1990,16,0
1991,1,0
1991,1,0
1991,2,0
1991,2,0
1991,2,0
1991,3,0
1991,3,0
1991,3,0
1991,4,0
1991,4,0
1991,4,0
1991,4,0
1991,5,0
1991,5,0
1991,5,0
1991,5,0
1991,6,0
1991,6,0
1991,6,0
1991,6,0
1991,7,0
1991,7,0
1991,7,0
1991,7,0
1991,8,0
1991,8,0
1991,8,0
1991,8,0
1991,9,0
1991,9,0
1991,9,0
1991,9,0
1991,10,0
1991,10,0
1991,10,0
1991,10,0
1991,11,0
1991,11,0
1991,11,0
1991,11,0
1991,12,0
1991,12,0
1991,12,0
1991,12,0
1991,13,0
1991,13,0
1991,13,0
1991,13,0
1991,14,0
1991,14,0
1991,14,0
1991,14,0
1991,15,0
1991,15,0
1991,15,0
1991,15,0
1991,16,0
1991,16,0
1991,16,0
1991,16,0
1992,1,0
1992,1,0
1992,1,0
1992,2,0
1992,2,0
1992,2,0
1992,3,0
1992,3,0
1992,3,0
1992,3,0
1992,4,0
1992,4,0
1992,4,0
1992,5,0
1992,5,0
1992,5,0
1992,5,0
1992,6,0
1992,6,0
1992,6,0
1992,7,0
1992,7,0
1992,7,0
1992,7,0
1992,8,0
1992,8,0
1992,8,0
1992,8,0
1992,9,0
1992,9,0
1992,9,0
1992,9,0
1992,10,0
1992,10,0
1992,10,0
1992,10,0
1992,11,0
1992,11,0
1992,11,0
1992,11,0
1992,12,0
1992,12,0
1992,12,0
1992,12,0
1992,13,0
1992,13,0
1992,13,0
1992,13,0
1992,14,0
1992,14,0
1992,14,0
1992,14,0
1992,15,0
1992,15,0
1992,15,0
1992,15,0
1992,16,0
1992,16,0
1992,16,0
1992,16,0
1993,1,0
1993,2,0
1993,2,0
1993,2,0
1993,3,0
1993,3,0
1993,3,0
1993,3,0
1993,4,0
1993,4,0
1993,4,0
1993,4,0
1993,5,0
1993,5,0
1993,5,0
1993,5,0
1993,6,0
1993,6,0
1993,6,0
1993,6,0
1993,7,0
1993,7,0
1993,7,0
1993,7,0
1993,8,0
1993,8,0
1993,8,0
1993,8,0
1993,9,0
1993,9,0
1993,9,0
1993,9,0
1993,10,0
1993,10,0
1993,10,0
1993,10,0
1993,11,0
1993,11,0
1993,11,0
1993,11,0
1993,12,0
1993,12,0
1993,12,0
1993,12,0
1993,13,0
1993,13,0
1993,13,0
1993,13,0
1993,14,0
1993,14,0
1993,14,0
1993,14,0
1993,15,0
1993,15,0
1993,15,0
1993,15,0
1993,16,0
1993,16,0
1993,16,0
1993,16,0
1994,1,0
1994,1,0
1994,1,0
1994,2,0
1994,2,0
1994,3,0
1994,3,0
1994,3,0
1994,4,0
1994,4,0
1994,4,0
1994,4,0
1994,5,0
1994,5,0
1994,5,0
1994,5,0
1994,6,0
1994,6,0
1994,6,0
1994,6,0
1994,7,0
1994,7,0
1994,7,0
1994,7,0
1994,8,0
1994,8,0
1994,8,0
1994,8,0
1994,9,0
1994,9,0
1994,9,0
1994,9,0
1994,10,0
1994,10,0
1994,10,0
1994,10,0
1994,11,0
1994,11,0
1994,11,0
1994,11,0
1994,12,0
1994,12,0
1994,12,0
1994,12,0
1994,13,0
1994,13,0
1994,13,0
1994,13,0
1994,14,0
1994,14,0
1994,14,0
1994,14,0
1994,15,0
1994,15,0
1994,15,0
1994,15,0
1994,16,0
1994,16,0
1994,16,0
1994,16,0
1995,1,0
1995,1,0
1995,1,0
1995,2,0
1995,2,0
1995,3,0
1995,3,0
1995,3,0
1995,3,0
1995,4,0
1995,4,0
1995,4,0
1995,5,0
1995,5,0
1995,5,0
1995,5,0
1995,6,0
1995,6,0
1995,6,0
1995,6,0
1995,7,0
1995,7,0
1995,7,0
1995,7,0
1995,8,0
1995,8,0
1995,8,0
1995,8,0
1995,9,0
1995,9,0
1995,9,0
1995,9,0
1995,10,0
1995,10,0
1995,10,0
1995,10,0
1995,11,0
1995,11,0
1995,11,0
1995,11,0
1995,12,0
1995,12,0
1995,12,0
1995,12,0
1995,13,0
1995,13,0
1995,13,0
1995,13,0
1995,14,0
1995,14,0
1995,14,0
1995,14,0
1995,15,0
1995,15,0
1995,15,0
1995,15,0
1995,16,0
1995,16,0
1995,16,0
1995,16,0
1996,1,0
1996,1,0
1996,2,0
1996,2,0
1996,2,0
1996,2,0
1996,3,0
1996,3,0
1996,3,0
1996,3,0
1996,4,0
1996,4,0
1996,4,0
1996,5,0
1996,5,0
1996,5,0
1996,6,0
1996,6,0
1996,6,0
1996,6,0
1996,7,0
1996,7,0
1996,7,0
1996,7,0
1996,8,0
1996,8,0
1996,8,0
1996,8,0
1996,9,0
1996,9,0
1996,9,0
1996,9,0
1996,10,0
1996,10,0
1996,10,0
1996,10,0
1996,11,0
1996,11,0
1996,11,0
1996,11,0
1996,12,0
1996,12,0
1996,12,0
1996,12,0
1996,13,0
1996,13,0
1996,13,0
1996,13,0
1996,14,0
1996,14,0
1996,14,0
1996,14,0
1996,15,0
1996,15,0
1996,15,0
1996,15,0
1996,16,0
1996,16,0
1996,16,0
1996,16,0
1997,1,0
1997,2,0
1997,2,0
1997,2,0
1997,2,0
1997,3,0
1997,3,0
1997,3,0
1997,3,0
1997,4,0
1997,4,0
1997,4,0
1997,5,0
1997,5,0
1997,5,0
1997,5,0
1997,6,0
1997,6,0
1997,6,0
1997,6,0
1997,7,0
1997,7,0
1997,7,0
1997,7,0
1997,8,0
1997,8,0
1997,8,0
1997,8,0
1997,9,0
1997,9,0
1997,9,0
1997,9,0
1997,10,0
1997,10,0
1997,10,0
1997,10,0
1997,11,0
1997,11,0
1997,11,0
1997,11,0
1997,12,0
1997,12,0
1997,12,0
1997,12,0
1997,13,0
1997,13,0
1997,13,0
1997,13,0
1997,14,0
1997,14,0
1997,14,0
1997,14,0
1997,15,0
1997,15,0
1997,15,0
1997,15,0
1997,16,0
1997,16,0
1997,16,0
1997,16,0
1998,1,0
1998,1,0
1998,1,0
1998,2,0
1998,2,0
1998,2,0
1998,3,0
1998,3,0
1998,4,0
1998,4,0
1998,4,0
1998,4,0
1998,5,0
1998,5,0
1998,5,0
1998,5,0
1998,6,0
1998,6,0
1998,6,0
1998,6,0
1998,7,0
1998,7,0
1998,7,0
1998,7,0
1998,8,0
1998,8,0
1998,8,0
1998,8,0
1998,9,0
1998,9,0
1998,9,0
1998,9,0
1998,10,0
1998,10,0
1998,10,0
1998,10,0
1998,11,0
1998,11,0
1998,11,0
1998,11,0
1998,12,0
1998,12,0
1998,12,0
1998,12,0
1998,13,0
1998,13,0
1998,13,0
1998,13,0
1998,14,0
1998,14,0
1998,14,0
1998,14,0
1998,15,0
1998,15,0
1998,15,0
1998,15,0
1998,16,0
1998,16,0
1998,16,0
1998,16,0
1999,1,0
1999,2,0
1999,2,0
1999,2,0
1999,2,0
1999,3,0
1999,3,0
1999,3,0
1999,3,0
1999,4,0
1999,4,0
1999,4,0
1999,5,0
1999,5,0
1999,5,0
1999,5,0
1999,6,0
1999,6,0
1999,6,0
1999,6,0
1999,7,0
1999,7,0
1999,7,0
1999,7,0
1999,8,0
1999,8,0
1999,8,0
1999,8,0
1999,9,0
1999,9,0
1999,9,0
1999,9,0
1999,10,0
1999,10,0
1999,10,0
1999,10,0
1999,11,0
1999,11,0
1999,11,0
1999,11,0
1999,12,0
1999,12,0
1999,12,0
1999,12,0
1999,13,0
1999,13,0
1999,13,0
1999,13,0
1999,14,0
1999,14,0
1999,14,0
1999,14,0
1999,15,0
1999,15,0
1999,15,0
1999,15,0
1999,16,0
1999,16,0
1999,16,0
1999,16,0
2000,1,0
2000,1,0
2000,1,0
2000,2,0
2000,2,0
2000,2,0
2000,2,0
2000,3,0
2000,3,0
2000,3,0
2000,3,0
2000,4,0
2000,4,0
2000,4,0
2000,4,0
2000,5,0
2000,5,0
2000,5,0
2000,6,0
2000,6,0
2000,6,0
2000,6,0
2000,7,0
2000,7,0
2000,7,0
2000,7,0
2000,8,0
2000,8,0
2000,9,0
2000,9,0
2000,9,0
2000,9,0
2000,10,0
2000,10,0
2000,10,0
2000,10,0
2000,11,0
2000,11,0
2000,11,0
2000,11,0
2000,12,0
2000,12,0
2000,12,0
2000,12,0
2000,13,0
2000,13,0
2000,13,0
2000,13,0
2000,14,0
2000,14,0
2000,14,0
2000,14,0
2000,15,0
2000,15,0
2000,15,0
2000,15,0
2000,16,0
2000,16,0
2000,16,0
2000,16,0
2001,1,0
2001,1,0
2001,2,0
2001,2,0
2001,2,0
2001,3,0
2001,3,0
2001,3,0
2001,4,0
2001,4,0
2001,4,0
2001,4,0
2001,5,0
2001,5,0
2001,5,0
2001,5,0
2001,6,0
2001,6,0
2001,6,0
2001,6,0
2001,7,0
2001,7,0
2001,7,0
2001,7,0
2001,8,0
2001,8,0
2001,8,0
2001,8,0
2001,9,0
2001,9,0
2001,9,0
2001,9,0
2001,10,0
2001,10,0
2001,10,0
2001,10,0
2001,11,0
2001,11,0
2001,11,0
2001,11,0
2001,12,0
2001,12,0
2001,12,0
2001,12,0
2001,13,0
2001,13,0
2001,13,0
2001,13,0
2001,14,0
2001,14,0
2001,14,0
2001,14,0
2001,15,0
2001,15,0
2001,15,0
2001,15,0
2001,16,0
2001,16,0
2001,16,0
2001,16,0
2002,1,0
2002,1,0
2002,2,0
2002,2,0
2002,2,0
2002,3,0
2002,3,0
2002,3,0
2002,3,0
2002,4,0
2002,4,0
2002,4,0
2002,4,0
2002,5,0
2002,5,0
2002,5,0
2002,6,0
2002,6,0
2002,6,0
2002,6,0
2002,7,0
2002,7,0
2002,7,0
2002,7,0
2002,8,0
2002,8,0
2002,8,0
2002,8,0
2002,9,0
2002,9,0
2002,9,0
2002,9,0
2002,10,0
2002,10,0
2002,10,0
2002,10,0
2002,11,0
2002,11,0
2002,11,0
2002,11,0
2002,12,0
2002,12,0
2002,12,0
2002,12,0
2002,13,0
2002,13,0
2002,13,0
2002,13,0
2002,14,0
2002,14,0
2002,14,0
2002,14,0
2002,15,0
2002,15,0
2002,15,0
2002,15,0
2002,16,0
2002,16,0
2002,16,0
2002,16,0
2003,1,0
2003,1,0
2003,1,0
2003,2,0
2003,2,0
2003,2,0
2003,3,0
2003,3,0
2003,4,0
2003,4,0
2003,4,0
2003,4,0
2003,5,0
2003,5,0
2003,5,0
2003,5,0
2003,6,0
2003,6,0
2003,6,0
2003,6,0
2003,7,0
2003,7,0
2003,7,0
2003,7,0
2003,8,0
2003,8,0
2003,8,0
2003,8,0
2003,9,0
2003,9,0
2003,9,0
2003,9,0
2003,10,0
2003,10,0
2003,10,0
2003,10,0
2003,11,0
2003,11,0
2003,11,0
2003,11,0
2003,12,0
2003,12,0
2003,12,0
2003,12,0
2003,13,0
2003,13,0
2003,13,0
2003,13,0
2003,14,0
2003,14,0
2003,14,0
2003,14,0
2003,15,0
2003,15,0
2003,15,0
2003,15,0
2003,16,0
2003,16,0
2003,16,0
2003,16,0
2004,1,0
2004,1,0
2004,1,0
2004,2,0
2004,2,0
2004,3,0
2004,3,0
2004,3,0
2004,4,0
2004,4,0
2004,4,0
2004,4,0
2004,5,0
2004,5,0
2004,5,0
2004,5,0
2004,6,0
2004,6,0
2004,6,0
2004,6,0
2004,7,0
2004,7,0
2004,7,0
2004,7,0
2004,8,0
2004,8,0
2004,8,0
2004,8,0
2004,9,0
2004,9,0
2004,9,0
2004,9,0
2004,10,0
2004,10,0
2004,10,0
2004,10,0
2004,11,0
2004,11,0
2004,11,0
2004,11,0
2004,12,0
2004,12,0
2004,12,0
2004,12,0
2004,13,0
2004,13,0
2004,13,0
2004,13,0
2004,14,0
2004,14,0
2004,14,0
2004,14,0
2004,15,0
2004,15,0
2004,15,0
2004,15,0
2004,16,0
2004,16,0
2004,16,0
2004,16,0
2005,1,0
2005,1,0
2005,2,0
2005,2,0
2005,2,0
2005,2,0
2005,3,0
2005,3,0
2005,3,0
2005,3,0
2005,4,0
2005,4,0
2005,4,0
2005,5,0
2005,5,0
2005,5,0
2005,6,0
2005,6,0
2005,6,0
2005,6,0
2005,7,0
2005,7,0
2005,7,0
2005,7,0
2005,8,0
2005,8,0
2005,8,0
2005,8,0
2005,9,0
2005,9,0
2005,9,0
2005,9,0
2005,10,0
2005,10,0
2005,10,0
2005,10,0
2005,11,0
2005,11,0
2005,11,0
2005,11,0
2005,12,0
2005,12,0
2005,12,0
2005,12,0
2005,13,0
2005,13,0
2005,13,0
2005,13,0
2005,14,0
2005,14,0
2005,14,0
2005,14,0
2005,15,0
2005,15,0
2005,15,0
2005,15,0
2005,16,0
2005,16,0
2005,16,0
2005,16,0
2006,1,0
2006,1,0
2006,1,0
2006,1,0
2006,2,0
2006,2,0
2006,2,0
2006,3,0
2006,3,0
2006,3,0
2006,4,0
2006,4,0
2006,4,0
2006,5,0
2006,5,0
2006,5,0
2006,5,0
2006,6,0
2006,6,0
2006,6,0
2006,6,0
2006,7,0
2006,7,0
2006,7,0
2006,7,0
2006,8,0
2006,8,0
2006,8,0
2006,8,0
2006,9,0
2006,9,0
2006,9,0
2006,9,0
2006,10,0
2006,10,0
2006,10,0
2006,10,0
2006,11,0
2006,11,0
2006,11,0
2006,12,0
2006,12,0
2006,12,0
2006,12,0
2006,13,0
2006,13,0
2006,13,0
2006,13,0
2006,14,0
2006,14,0
2006,14,0
2006,14,0
2006,15,0
2006,15,0
2006,15,0
2006,15,0
2006,16,0
2006,16,0
2006,16,0
2006,16,0
2007,1,0
2007,1,0
2007,2,0
2007,2,0
2007,3,0
2007,3,0
2007,3,0
2007,3,0
2007,4,0
2007,4,0
2007,4,0
2007,4,0
2007,5,0
2007,5,0
2007,5,0
2007,5,0
2007,6,0
2007,6,0
2007,6,0
2007,6,0
2007,7,0
2007,7,0
2007,7,0
2007,7,0
2007,8,0
2007,8,0
2007,8,0
2007,8,0
2007,9,0
2007,9,0
2007,9,0
2007,9,0
2007,10,0
2007,10,0
2007,10,0
2007,10,0
2007,11,0
2007,11,0
2007,11,0
2007,11,0
2007,12,0
2007,12,0
2007,12,0
2007,12,0
2007,13,0
2007,13,0
2007,13,0
2007,13,0
2007,14,0
2007,14,0
2007,14,0
2007,14,0
2007,15,0
2007,15,0
2007,15,0
2007,15,0
2007,16,0
2007,16,0
2007,16,0
2007,16,0
2008,2,0
2008,2,0
2008,2,0
2008,2,0
2008,3,0
2008,3,0
2008,3,0
2008,3,0
2008,4,0
2008,4,0
2008,4,0
2008,4,0
2008,5,0
2008,5,0
2008,5,0
2008,5,0
2008,6,0
2008,6,0
2008,6,0
2008,6,0
2008,7,0
2008,7,0
2008,7,0
2008,7,0
2008,8,0
2008,8,0
2008,8,0
2008,8,0
2008,9,0
2008,9,0
2008,9,0
2008,9,0
2008,10,0
2008,10,0
2008,10,0
2008,10,0
2008,11,0
2008,11,0
2008,11,0
2008,11,0
2008,12,0
2008,12,0
2008,12,0
2008,12,0
2008,13,0
2008,13,0
2008,13,0
2008,13,0
2008,14,0
2008,14,0
2008,14,0
2008,14,0
2008,15,0
2008,15,0
2008,15,0
2008,15,0
2008,16,0
2008,16,0
2008,16,0
2008,16,0
2009,1,0
2009,1,0
2009,2,0
2009,2,0
2009,2,0
2009,3,0
2009,3,0
2009,3,0
2009,4,0
2009,4,0
2009,4,0
2009,4,0
2009,5,0
2009,5,0
2009,5,0
2009,5,0
2009,6,0
2009,6,0
2009,6,0
2009,6,0
2009,7,0
2009,7,0
2009,7,0
2009,7,0
2009,8,0
2009,8,0
2009,8,0
2009,8,0
2009,9,0
2009,9,0
2009,9,0
2009,9,0
2009,10,0
2009,10,0
2009,10,0
2009,10,0
2009,11,0
2009,11,0
2009,11,0
2009,11,0
